phone_id,customer_id,phone_number,activation_date
PH000073,CU000055,07266135449,2022-08-09
PH000074,CU000056,07505074351,2022-01-14
PH000075,CU000057,07927824716,2022-01-11
PH000076,CU000058,07514394273,2022-01-23
PH000077,CU000058,07696644479,2022-03-21
PH000078,CU000059,07188990269,2022-01-09
PH000079,CU000059,07309458242,2022-06-12
PH000080,CU000060,07866597250,2022-01-01
PH000081,CU000060,07595312254,2022-04-01
PH000082,CU000060,07225943241,2022-06-21
PH000083,CU000061,07736642564,2022-01-05
PH000084,CU000062,07311061371,2022-01-16
PH000085,CU000063,07881965106,2022-01-17
PH000086,CU000064,07992401958,2022-01-16
PH000087,CU000064,07770229140,2022-05-13
PH000088,CU000065,07779998990,2022-02-04
PH000089,CU000066,07371119253,2022-02-20
PH000090,CU000067,07702984717,2022-02-16
PH000091,CU000068,07717827238,2022-02-05
PH000092,CU000069,07401919979,2022-02-22
PH000093,CU000070,07415165923,2022-02-16
PH000094,CU000070,07477651089,2022-05-02
PH000095,CU000071,07563871893,2022-02-06
PH000096,CU000072,07875012907,2022-02-17
PH000097,CU000073,07328022186,2022-02-08
PH000098,CU000074,07540329995,2022-02-02
PH000099,CU000075,07634358311,2022-02-20
PH000100,CU000076,07937483434,2022-02-27
PH000101,CU000077,07240409252,2022-02-04
PH000102,CU000078,07163277265,2022-02-27
PH000103,CU000079,07434263004,2022-02-12
PH000104,CU000080,07989761969,2022-02-09
PH000105,CU000081,07424948360,2022-02-11
PH000106,CU000082,07276465144,2022-02-07
PH000107,CU000082,07135305958,2022-06-24
PH000108,CU000082,07764255677,2022-08-25
PH000109,CU000083,07224608895,2022-02-18
PH000110,CU000084,07319169601,2022-02-19
PH000111,CU000085,07922475443,2022-02-21
PH000112,CU000086,07915311574,2022-02-23
PH000113,CU000086,07102196423,2022-07-28
PH000114,CU000087,07343135381,2022-02-01
PH000115,CU000088,07700222420,2022-02-21
PH000116,CU000089,07753870612,2022-02-21
PH000117,CU000090,07301860333,2022-02-12
PH000118,CU000091,07416798492,2022-02-13
PH000119,CU000091,07209678163,2022-08-04
PH000120,CU000091,07971323800,2022-10-17
PH000121,CU000092,07406568433,2022-02-03
PH000122,CU000093,07994916734,2022-02-08
PH000123,CU000094,07223877645,2022-02-04
PH000124,CU000094,07428536834,2022-03-06
PH000125,CU000095,07350933574,2022-02-02
PH000126,CU000096,07133000168,2022-02-19
PH000127,CU000097,07329198650,2022-02-01
PH000128,CU000098,07945788725,2022-02-27
PH000129,CU000099,07863783063,2022-02-17
PH000130,CU000099,07424425535,2022-07-08
PH000131,CU000100,07241500833,2022-02-09
PH000132,CU000101,07750310648,2022-02-22
PH000133,CU000102,07374069045,2022-02-06
PH000134,CU000103,07831998299,2022-02-12
PH000135,CU000104,07520450804,2022-02-03
PH000136,CU000105,07370687447,2022-02-15
PH000137,CU000106,07219009960,2022-02-03
PH000138,CU000106,07286838351,2022-04-08
PH000139,CU000106,07986959329,2022-07-05
PH000140,CU000107,07871574600,2022-02-08
PH000141,CU000108,07400257793,2022-02-06
PH000142,CU000109,07364725299,2022-02-08
PH000143,CU000110,07242848927,2022-02-05
PH000144,CU000111,07608030045,2022-02-23
PH000145,CU000112,07269357366,2022-02-14
PH000146,CU000113,07603436410,2022-02-13
PH000147,CU000114,07394925161,2022-02-13
PH000148,CU000115,07447764885,2022-02-07
PH000149,CU000116,07685074506,2022-02-09
PH000150,CU000117,07405899972,2022-02-10
PH000151,CU000118,07831194129,2022-02-02
PH000152,CU000119,07924818211,2022-02-11
PH000153,CU000120,07142399396,2022-02-17
PH000154,CU000121,07809603670,2022-02-20
PH000155,CU000121,07551828869,2022-08-07
PH000156,CU000122,07967840447,2022-02-10
PH000157,CU000123,07626445983,2022-02-01
PH000158,CU000124,07785405240,2022-02-23
PH000159,CU000125,07433720726,2022-02-23
PH000160,CU000126,07101414645,2022-02-19
PH000161,CU000127,07308221385,2022-02-22
PH000162,CU000128,07629108169,2022-02-07
PH000163,CU000129,07856051245,2022-02-15
PH000164,CU000130,07489130871,2022-02-19
PH000165,CU000131,07429705987,2022-02-23
PH000166,CU000132,07965316824,2022-03-14
PH000167,CU000133,07273280539,2022-03-18
PH000168,CU000134,07647536145,2022-03-22
PH000169,CU000134,07733128074,2022-08-13
PH000170,CU000135,07757475013,2022-03-22
PH000171,CU000136,07653212033,2022-03-20
PH000172,CU000137,07309654192,2022-03-05
PH000173,CU000138,07414793173,2022-03-15
PH000174,CU000139,07322938010,2022-03-18
PH000175,CU000140,07228048902,2022-03-25
PH000176,CU000141,07516998527,2022-03-18
PH000177,CU000141,07973914397,2022-07-10
PH000178,CU000142,07191960016,2022-03-14
PH000179,CU000143,07237713074,2022-03-13
PH000180,CU000144,07575350715,2022-03-02
PH000181,CU000144,07878474413,2022-06-01
PH000182,CU000144,07153260034,2022-08-19
PH000183,CU000145,07532029490,2022-03-03
PH000184,CU000146,07201897591,2022-03-25
PH000185,CU000147,07864766840,2022-03-08
PH000186,CU000148,07754502240,2022-03-14
PH000187,CU000149,07415817276,2022-03-26
PH000188,CU000149,07837513694,2022-07-20
PH000189,CU000150,07460444345,2022-03-29
PH000190,CU000151,07741868625,2022-03-18
PH000191,CU000151,07376674420,2022-04-25
PH000192,CU000151,07648011151,2022-07-02
PH000193,CU000152,07223743390,2022-03-13
PH000194,CU000152,07664271992,2022-05-03
PH000195,CU000152,07117894678,2022-07-28
PH000196,CU000153,07828970531,2022-03-24
PH000197,CU000154,07307849822,2022-03-02
PH000198,CU000155,07531197041,2022-03-24
PH000199,CU000156,07316199084,2022-03-25
PH000200,CU000157,07378667765,2022-03-18
PH000201,CU000157,07887965652,2022-06-17
PH000202,CU000157,07232606385,2022-09-07
PH000203,CU000158,07923166298,2022-03-08
PH000204,CU000159,07266509067,2022-03-23
PH000205,CU000159,07188519241,2022-05-14
PH000206,CU000160,07509825832,2022-03-12
PH000207,CU000161,07556258117,2022-03-09
PH000208,CU000161,07639416310,2022-06-05
PH000209,CU000162,07436771249,2022-03-01
PH000210,CU000163,07739814642,2022-03-17
PH000211,CU000164,07483540132,2022-03-08
PH000212,CU000164,07703872976,2022-04-29
PH000213,CU000165,07560973274,2022-03-12
PH000214,CU000166,07108470059,2022-03-24
PH000215,CU000167,07592384683,2022-03-18
PH000216,CU000167,07604235194,2022-06-13
PH000217,CU000168,07833144673,2022-03-24
PH000218,CU000168,07403158678,2022-09-10
PH000219,CU000168,07282584283,2022-11-30
PH000220,CU000169,07214590416,2022-03-15
PH000221,CU000170,07532478548,2022-03-29
PH000222,CU000171,07950897781,2022-03-27
PH000223,CU000172,07128293839,2022-03-19
PH000224,CU000172,07412340928,2022-07-15
PH000225,CU000173,07937368611,2022-03-05
PH000226,CU000174,07380717641,2022-03-25
PH000227,CU000175,07671580017,2022-03-06
PH000228,CU000176,07480590660,2022-03-24
PH000229,CU000177,07617058294,2022-03-01
PH000230,CU000177,07792827969,2022-08-21
PH000231,CU000178,07535019454,2022-03-09
PH000232,CU000179,07446731137,2022-03-25
PH000233,CU000180,07196319209,2022-03-03
PH000234,CU000180,07512227580,2022-05-05
PH000235,CU000181,07129985611,2022-03-09
PH000236,CU000182,07572541659,2022-03-07
PH000237,CU000182,07354546394,2022-07-07
PH000238,CU000183,07141304630,2022-03-12
PH000239,CU000184,07968103515,2022-03-26
PH000240,CU000185,07630974004,2022-03-22
PH000241,CU000186,07650205264,2022-03-19
PH000242,CU000187,07466541915,2022-03-08
PH000243,CU000188,07589836067,2022-03-12
PH000244,CU000188,07337282053,2022-08-30
PH000245,CU000189,07321915079,2022-03-12
PH000246,CU000190,07484134283,2022-03-12
PH000247,CU000191,07397483005,2022-03-07
PH000248,CU000192,07577697982,2022-03-10
PH000249,CU000193,07169782591,2022-03-10
PH000250,CU000193,07272473758,2022-07-12
PH000251,CU000193,07261763341,2022-10-10
PH000252,CU000194,07126319238,2022-03-20
PH000253,CU000195,07937781604,2022-03-05
PH000254,CU000196,07149104783,2022-03-15
PH000255,CU000197,07841627299,2022-03-11
PH000256,CU000198,07265399735,2022-04-28
PH000257,CU000199,07464247720,2022-04-21
PH000258,CU000199,07902071880,2022-07-10
PH000259,CU000200,07325147731,2022-04-29
PH000260,CU000200,07140411606,2022-07-23
PH000261,CU000201,07384101990,2022-04-09
PH000262,CU000201,07488729212,2022-09-04
PH000263,CU000201,07718491029,2022-12-03
PH000264,CU000202,07421227338,2022-04-04
PH000265,CU000203,07834979742,2022-04-03
PH000266,CU000204,07999686902,2022-04-08
PH000267,CU000205,07269410504,2022-04-17
PH000268,CU000206,07644095977,2022-04-17
PH000269,CU000207,07238858870,2022-04-02
PH000270,CU000208,07569213430,2022-04-20
PH000271,CU000208,07999670173,2022-08-09
PH000272,CU000209,07981405892,2022-04-25
PH000273,CU000210,07568986784,2022-04-28
PH000274,CU000210,07153750246,2022-10-13
PH000275,CU000211,07275012729,2022-04-24
PH000276,CU000212,07436066455,2022-04-19
PH000277,CU000213,07754421274,2022-04-02
PH000278,CU000214,07506403969,2022-04-17
PH000279,CU000215,07259797481,2022-04-16
PH000280,CU000215,07303651257,2022-10-01
PH000281,CU000216,07415978487,2022-04-23
PH000282,CU000216,07683744298,2022-07-19
PH000283,CU000217,07317246157,2022-04-19
PH000284,CU000218,07184940830,2022-04-07
PH000285,CU000219,07990242517,2022-04-10
PH000286,CU000220,07273236606,2022-04-01
PH000287,CU000221,07861708690,2022-04-18
PH000288,CU000222,07924429901,2022-04-10
PH000289,CU000223,07703290981,2022-04-23
PH000290,CU000223,07188154610,2022-07-15
PH000291,CU000224,07746796987,2022-04-09
PH000292,CU000225,07531236821,2022-04-08
PH000293,CU000226,07135913677,2022-04-11
PH000294,CU000227,07642748178,2022-04-02
PH000295,CU000228,07111423440,2022-04-15
PH000296,CU000229,07581784241,2022-04-22
PH000297,CU000229,07133017598,2022-06-21
PH000298,CU000230,07621672135,2022-04-24
PH000299,CU000231,07644708572,2022-04-06
PH000300,CU000232,07965996607,2022-04-23
PH000301,CU000233,07377888808,2022-04-23
PH000302,CU000234,07740213117,2022-04-27
PH000303,CU000235,07153143613,2022-04-13
PH000304,CU000235,07685646541,2022-08-02
PH000305,CU000236,07895686970,2022-04-06
PH000306,CU000237,07573468728,2022-04-29
PH000307,CU000238,07122955564,2022-04-18
PH000308,CU000238,07198824771,2022-08-20
PH000309,CU000239,07135149806,2022-04-17
PH000310,CU000239,07957512304,2022-07-01
PH000311,CU000240,07886523852,2022-04-04
PH000312,CU000240,07358264144,2022-07-31
PH000313,CU000241,07198172519,2022-04-07
PH000314,CU000241,07109135408,2022-05-09
PH000315,CU000242,07637210923,2022-04-11
PH000316,CU000243,07260540372,2022-04-14
PH000317,CU000244,07799183272,2022-04-21
PH000318,CU000245,07693866963,2022-04-05
PH000319,CU000246,07738177933,2022-04-16
PH000320,CU000247,07604414125,2022-04-05
PH000321,CU000248,07922851803,2022-04-13
PH000322,CU000248,07351692713,2022-08-10
PH000323,CU000249,07725266720,2022-04-29
PH000324,CU000250,07604381646,2022-04-15
PH000325,CU000251,07321115141,2022-04-06
PH000326,CU000252,07216176080,2022-04-11
PH000327,CU000253,07243735076,2022-04-05
PH000328,CU000254,07825110935,2022-04-26
PH000329,CU000254,07960210885,2022-07-07
PH000330,CU000254,07949328880,2022-09-20
PH000331,CU000255,07299562839,2022-04-29
PH000332,CU000256,07853632773,2022-04-05
PH000333,CU000257,07266625744,2022-04-27
PH000334,CU000258,07921732418,2022-04-08
PH000335,CU000259,07522000911,2022-04-27
PH000336,CU000259,07791442489,2022-07-28
PH000337,CU000259,07880819345,2022-10-17
PH000338,CU000260,07899277406,2022-04-29
PH000339,CU000261,07310313561,2022-04-01
PH000340,CU000262,07514376688,2022-04-06
PH000341,CU000263,07898978913,2022-05-13
PH000342,CU000264,07112979219,2022-05-08
PH000343,CU000265,07686457281,2022-05-08
PH000344,CU000265,07840575444,2022-07-02
PH000345,CU000265,07884357430,2022-09-12
PH000346,CU000266,07652016267,2022-05-29
PH000347,CU000267,07117781960,2022-05-19
PH000348,CU000268,07486069146,2022-05-20
PH000349,CU000268,07483418245,2022-08-13
PH000350,CU000268,07451105816,2022-10-19
PH000351,CU000269,07380440676,2022-05-17
PH000352,CU000270,07388369004,2022-05-24
PH000353,CU000271,07727200208,2022-05-21
PH000354,CU000272,07191872235,2022-05-08
PH000355,CU000273,07741130829,2022-05-07
PH000356,CU000274,07424148918,2022-05-08
PH000357,CU000275,07361199954,2022-05-21
PH000358,CU000276,07342947269,2022-05-04
PH000359,CU000277,07742275838,2022-05-20
PH000360,CU000277,07101457833,2022-11-09
PH000361,CU000278,07667120552,2022-05-22
PH000362,CU000278,07634015590,2022-10-19
PH000363,CU000278,07795954918,2023-01-14
PH000364,CU000279,07410849355,2022-05-05
PH000365,CU000280,07949138794,2022-05-24
PH000366,CU000281,07739325652,2022-05-14
PH000367,CU000281,07155526149,2022-08-24
PH000368,CU000282,07421017331,2022-05-27
PH000369,CU000282,07753058526,2022-10-29
PH000370,CU000283,07843621711,2022-05-27
PH000371,CU000284,07118233007,2022-05-22
PH000372,CU000284,07582281409,2022-10-20
PH000373,CU000285,07674308089,2022-05-16
PH000374,CU000286,07576833801,2022-05-06
PH000375,CU000286,07233911394,2022-09-08
PH000376,CU000286,07493231493,2022-11-26
PH000377,CU000287,07419614872,2022-05-03
PH000378,CU000287,07346991656,2022-10-17
PH000379,CU000288,07436078457,2022-05-25
PH000380,CU000289,07733211213,2022-05-15
PH000381,CU000289,07814973988,2022-06-20
PH000382,CU000289,07157719433,2022-09-05
PH000383,CU000290,07199006152,2022-05-15
PH000384,CU000291,07447195564,2022-05-22
PH000385,CU000291,07174561267,2022-10-04
PH000386,CU000292,07239746857,2022-05-24
PH000387,CU000293,07307473815,2022-05-26
PH000388,CU000294,07778917006,2022-05-20
PH000389,CU000295,07662638394,2022-05-25
PH000390,CU000296,07621888967,2022-05-10
PH000391,CU000296,07995815108,2022-10-19
PH000392,CU000297,07818652607,2022-05-06
PH000393,CU000298,07154475723,2022-05-18
PH000394,CU000298,07268445885,2022-07-05
PH000395,CU000298,07227022287,2022-09-04
PH000396,CU000299,07144764964,2022-05-22
PH000397,CU000300,07707973727,2022-05-01
PH000398,CU000301,07756712228,2022-05-09
PH000399,CU000301,07244247096,2022-07-11
PH000400,CU000302,07430392514,2022-05-10
PH000401,CU000302,07526835952,2022-07-30
PH000402,CU000303,07149092561,2022-05-05
PH000403,CU000304,07159549740,2022-05-25
PH000404,CU000304,07820865363,2022-09-30
PH000405,CU000305,07426275993,2022-05-12
PH000406,CU000306,07552609822,2022-05-26
PH000407,CU000306,07318420396,2022-07-30
PH000408,CU000307,07693826677,2022-05-01
PH000409,CU000308,07392596357,2022-05-13
PH000410,CU000309,07844323433,2022-05-23
PH000411,CU000310,07682997269,2022-05-28
PH000412,CU000311,07630064465,2022-05-06
PH000413,CU000312,07806853055,2022-05-08
PH000414,CU000313,07600397110,2022-05-16
PH000415,CU000314,07281989863,2022-05-06
PH000416,CU000315,07799508560,2022-05-28
PH000417,CU000316,07604598816,2022-05-08
PH000418,CU000317,07419671455,2022-05-05
PH000419,CU000318,07568542885,2022-05-22
PH000420,CU000319,07659698257,2022-05-20
PH000421,CU000320,07374949563,2022-05-05
PH000422,CU000321,07595763525,2022-05-16
PH000423,CU000321,07124399071,2022-08-10
PH000424,CU000321,07407926853,2022-11-02
PH000425,CU000322,07684684843,2022-05-13
PH000426,CU000323,07382437945,2022-05-13
PH000427,CU000323,07259681020,2022-07-19
PH000428,CU000324,07208799955,2022-05-06
PH000429,CU000325,07806773210,2022-06-09
PH000430,CU000326,07843768843,2022-06-26
PH000431,CU000327,07423462063,2022-06-11
PH000432,CU000328,07896006642,2022-06-11
PH000433,CU000329,07637101449,2022-06-23
PH000434,CU000330,07706781269,2022-06-06
PH000435,CU000330,07728563696,2022-07-08
PH000436,CU000331,07782397776,2022-06-20
PH000437,CU000332,07880791914,2022-06-10
PH000438,CU000333,07803866091,2022-06-23
PH000439,CU000334,07590592251,2022-06-08
PH000440,CU000335,07616969695,2022-06-07
PH000441,CU000336,07586976408,2022-06-18
PH000442,CU000337,07286898900,2022-06-13
PH000443,CU000338,07471415826,2022-06-28
PH000444,CU000339,07580998775,2022-06-17
PH000445,CU000340,07198602095,2022-06-24
PH000446,CU000340,07822011163,2022-12-11
PH000447,CU000341,07148088350,2022-06-21
PH000448,CU000341,07789844080,2022-10-09
PH000449,CU000342,07563716985,2022-06-16
PH000450,CU000343,07132284067,2022-06-27
PH000451,CU000343,07782238696,2022-09-09
PH000452,CU000344,07377345024,2022-06-15
PH000453,CU000344,07398614434,2022-11-21
PH000454,CU000345,07871278892,2022-06-02
PH000455,CU000346,07856004863,2022-06-28
PH000456,CU000346,07431844292,2022-11-15
PH000457,CU000347,07985458546,2022-06-06
PH000458,CU000348,07227505120,2022-06-28
PH000459,CU000349,07182162789,2022-06-04
PH000460,CU000350,07640196949,2022-06-10
PH000461,CU000350,07228007123,2022-10-29
PH000462,CU000351,07460016366,2022-06-12
PH000463,CU000351,07801274351,2022-11-01
PH000464,CU000351,07331043464,2023-01-04
PH000465,CU000352,07257746375,2022-06-10
PH000466,CU000353,07699081310,2022-06-21
PH000467,CU000353,07565612365,2022-12-16
PH000468,CU000354,07817026020,2022-06-05
PH000469,CU000354,07511362934,2022-09-02
PH000470,CU000355,07513790649,2022-06-15
PH000471,CU000356,07500968861,2022-06-20
PH000472,CU000356,07886714480,2022-08-31
PH000473,CU000357,07698659002,2022-06-06
PH000474,CU000358,07342256229,2022-06-06
PH000475,CU000358,07361891944,2022-10-28
PH000476,CU000359,07248980795,2022-06-16
PH000477,CU000360,07912123169,2022-06-03
PH000478,CU000361,07215320609,2022-06-17
PH000479,CU000362,07342088226,2022-06-17
PH000480,CU000363,07772695253,2022-06-26
PH000481,CU000364,07802139783,2022-06-26
PH000482,CU000365,07612189182,2022-06-16
PH000483,CU000366,07497019010,2022-06-13
PH000484,CU000366,07971374600,2022-08-21
PH000485,CU000367,07430897389,2022-06-25
PH000486,CU000368,07906804238,2022-06-18
PH000487,CU000369,07155071685,2022-06-13
PH000488,CU000370,07852538247,2022-06-25
PH000489,CU000371,07374172536,2022-06-17
PH000490,CU000372,07463530791,2022-06-20
PH000491,CU000372,07222585664,2022-10-01
PH000492,CU000373,07718120306,2022-06-16
PH000493,CU000374,07120437961,2022-06-12
PH000494,CU000375,07273345248,2022-06-24
PH000495,CU000375,07904571300,2022-09-15
PH000496,CU000376,07696190901,2022-06-18
PH000497,CU000377,07442597375,2022-06-10
PH000498,CU000378,07443543555,2022-06-25
PH000499,CU000379,07401053404,2022-06-02
PH000500,CU000380,07656211357,2022-06-22
PH000501,CU000381,07160959069,2022-06-05
PH000502,CU000382,07631857849,2022-06-01
PH000503,CU000383,07561961662,2022-06-24
PH000504,CU000384,07876489023,2022-06-06
PH000505,CU000384,07114143428,2022-08-13
PH000506,CU000384,07168437350,2022-10-30
PH000507,CU000385,07216499589,2022-06-19
PH000508,CU000386,07847305578,2022-06-09
PH000509,CU000386,07375576904,2022-10-09
PH000510,CU000386,07615532284,2022-12-15
PH000511,CU000387,07505182618,2022-07-23
PH000512,CU000387,07140498768,2022-12-21
PH000513,CU000388,07683163329,2022-07-27
PH000514,CU000389,07348920429,2022-07-19
PH000515,CU000390,07994190473,2022-07-17
PH000516,CU000391,07706345735,2022-07-01
PH000517,CU000392,07473142644,2022-07-28
PH000518,CU000392,07642121651,2023-01-01
PH000519,CU000393,07444162242,2022-07-16
PH000520,CU000393,07510889613,2022-10-19
PH000521,CU000394,07525357304,2022-07-28
PH000522,CU000395,07545802935,2022-07-12
PH000523,CU000396,07943688225,2022-07-06
PH000524,CU000397,07425607861,2022-07-04
PH000525,CU000398,07106473573,2022-07-27
PH000526,CU000398,07686946240,2022-12-08
PH000527,CU000398,07403048975,2023-02-17
PH000528,CU000399,07929839758,2022-07-26
PH000529,CU000400,07167893593,2022-07-25
PH000530,CU000400,07776877130,2022-09-14
PH000531,CU000400,07959846185,2022-11-17
PH000532,CU000401,07697582119,2022-07-25
PH000533,CU000402,07582647901,2022-07-12
PH000534,CU000402,07473546408,2022-10-11
PH000535,CU000403,07244229140,2022-07-25
PH000536,CU000403,07285097136,2023-01-21
PH000537,CU000403,07760012749,2023-04-05
PH000538,CU000404,07521679565,2022-07-03
PH000539,CU000405,07854209729,2022-07-15
PH000540,CU000405,07651083839,2022-10-18
PH000541,CU000405,07738436128,2022-12-20
PH000542,CU000406,07262774302,2022-07-09
PH000543,CU000407,07888028290,2022-07-09
PH000544,CU000407,07550633691,2022-08-21
PH000545,CU000407,07292234105,2022-11-18
PH000546,CU000408,07720072741,2022-07-17
PH000547,CU000409,07322584690,2022-07-11
PH000548,CU000410,07906883088,2022-07-27
PH000549,CU000411,07972374168,2022-07-24
PH000550,CU000412,07193064219,2022-07-19
PH000551,CU000413,07433242316,2022-07-17
PH000552,CU000414,07780613881,2022-07-12
PH000553,CU000415,07198510728,2022-07-01
PH000554,CU000416,07398748655,2022-07-17
PH000555,CU000417,07957680881,2022-07-02
PH000556,CU000418,07673448159,2022-07-05
PH000557,CU000419,07342414618,2022-07-11
PH000558,CU000420,07565755712,2022-07-10
PH000559,CU000421,07784401344,2022-07-01
PH000560,CU000422,07178203054,2022-07-22
PH000561,CU000422,07493086485,2022-09-07
PH000562,CU000422,07413924922,2022-11-26
PH000563,CU000423,07538437297,2022-07-02
PH000564,CU000423,07404679115,2022-12-25
PH000565,CU000424,07647683511,2022-07-23
PH000566,CU000425,07567477770,2022-07-26
PH000567,CU000425,07191213290,2022-11-06
PH000568,CU000426,07384871402,2022-07-25
PH000569,CU000427,07442841899,2022-07-29
PH000570,CU000427,07996065566,2023-01-23
PH000571,CU000428,07796989397,2022-07-23
PH000572,CU000428,07390705343,2022-12-13
PH000573,CU000429,07644116479,2022-07-12
PH000574,CU000429,07289784257,2022-09-14
PH000575,CU000429,07252991765,2022-11-13
PH000576,CU000430,07234359474,2022-07-04
PH000577,CU000431,07100941514,2022-07-08
PH000578,CU000432,07757945535,2022-07-29
PH000579,CU000433,07299503183,2022-07-17
PH000580,CU000434,07187924792,2022-07-21
PH000581,CU000435,07557247531,2022-07-24
PH000582,CU000436,07576105459,2022-07-09
PH000583,CU000437,07844824134,2022-07-17
PH000584,CU000438,07182502982,2022-07-02
PH000585,CU000438,07462265913,2022-11-08
PH000586,CU000439,07885564771,2022-07-24
PH000587,CU000440,07138749064,2022-07-22
PH000588,CU000440,07323718168,2022-12-11
PH000589,CU000441,07384901076,2022-07-06
PH000590,CU000441,07795537821,2022-09-28
PH000591,CU000442,07483827823,2022-07-11
PH000592,CU000443,07447163849,2022-07-04
PH000593,CU000444,07883644996,2022-07-03
PH000594,CU000445,07579073615,2022-07-16
PH000595,CU000446,07299123843,2022-07-28
PH000596,CU000447,07390893074,2022-07-04
PH000597,CU000448,07531005006,2022-07-01
PH000598,CU000449,07673524630,2022-08-23
PH000599,CU000450,07718977221,2022-08-08
PH000600,CU000451,07902718277,2022-08-18
PH000601,CU000451,07533573002,2022-11-07
PH000602,CU000452,07386998836,2022-08-21
PH000603,CU000453,07512357055,2022-08-04
PH000604,CU000454,07958526074,2022-08-10
PH000605,CU000455,07569612959,2022-08-07
PH000606,CU000456,07835789091,2022-08-01
PH000607,CU000457,07125100899,2022-08-09
PH000608,CU000457,07635967622,2022-11-25
PH000609,CU000458,07504045118,2022-08-26
PH000610,CU000458,07888305973,2023-01-26
PH000611,CU000459,07249063241,2022-08-07
PH000612,CU000459,07802429900,2022-12-18
PH000613,CU000460,07287394213,2022-08-04
PH000614,CU000461,07437262315,2022-08-11
PH000615,CU000462,07138517427,2022-08-11
PH000616,CU000463,07129363344,2022-08-28
PH000617,CU000463,07571312383,2022-10-17
PH000618,CU000464,07980823445,2022-08-19
PH000619,CU000465,07476340836,2022-08-10
PH000620,CU000466,07702437540,2022-08-22
PH000621,CU000466,07932990649,2022-09-22
PH000622,CU000466,07430599108,2022-11-22
PH000623,CU000467,07868020294,2022-08-12
PH000624,CU000468,07904948332,2022-08-27
PH000625,CU000468,07540741548,2023-01-29
PH000626,CU000469,07900722609,2022-08-02
PH000627,CU000470,07982621456,2022-08-14
PH000628,CU000471,07962361245,2022-08-23
PH000629,CU000472,07318219522,2022-08-07
PH000630,CU000472,07535634281,2022-11-19
PH000631,CU000473,07139992521,2022-08-07
PH000632,CU000474,07457313096,2022-08-13
PH000633,CU000475,07231950726,2022-08-17
PH000634,CU000475,07369199062,2023-01-26
